#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
7076611|2016-08-24T02:46:26.340000|42.7207|13.2028|9.9|BULLETIN-INGV||||ML|3.4|--|5 km NW Accumoli (RI)|earthquake
7076671|2016-08-24T02:47:07.910000|42.7763|13.2077|10.1|BULLETIN-INGV||||ML|2.5|--|7 km W Arquata del Tronto (AP)|earthquake
7076791|2016-08-24T02:48:52.970000|42.8107|13.1538|10.4|BULLETIN-INGV||||ML|3.1|--|5 km E Norcia (PG)|earthquake
7076881|2016-08-24T02:50:41.320000|42.7502|13.1998|8.4|BULLETIN-INGV||||ML|2.9|--|7 km NW Accumoli (RI)|earthquake
7076931|2016-08-24T02:51:26.340000|42.7747|13.225|6.3|BULLETIN-INGV||||ML|3.7|--|6 km W Arquata del Tronto (AP)|earthquake
7077001|2016-08-24T02:53:20.350000|42.7587|13.1497|7.9|BULLETIN-INGV||||ML|2.6|--|6 km SE Norcia (PG)|earthquake
7077061|2016-08-24T02:54:14.340000|42.7413|13.1878|9.9|BULLETIN-INGV||||ML|2.8|--|7 km NW Accumoli (RI)|earthquake
7077041|2016-08-24T02:54:28.130000|42.7992|13.2163|8.6|BULLETIN-INGV||||ML|3.0|--|7 km W Arquata del Tronto (AP)|earthquake
7077131|2016-08-24T02:55:39.900000|42.6463|13.3087|7.5|BULLETIN-INGV||||ML|3.6|--|2 km NE Amatrice (RI)|earthquake
7077251|2016-08-24T02:56:53.840000|42.6352|13.2502|15.2|BULLETIN-INGV||||ML|2.7|--|3 km W Amatrice (RI)|earthquake
7077181|2016-08-24T02:57:35.390000|42.8158|13.1763|9.6|BULLETIN-INGV||||ML|2.5|--|7 km E Norcia (PG)|earthquake
7077211|2016-08-24T02:57:52.790000|42.8047|13.1733|8.3|BULLETIN-INGV||||ML|3.2|--|7 km E Norcia (PG)|earthquake
7077401|2016-08-24T02:58:36.200000|42.7837|13.153|9.7|BULLETIN-INGV||||ML|2.8|--|5 km E Norcia (PG)|earthquake
7077291|2016-08-24T02:59:17.770000|42.813|13.1567|9.6|BULLETIN-INGV||||ML|3.3|--|6 km E Norcia (PG)|earthquake
7077321|2016-08-24T02:59:35.240000|42.7987|13.1313|6.7|BULLETIN-INGV||||Mw|3.9|--|3 km E Norcia (PG)|earthquake
7077441|2016-08-24T03:01:43.480000|42.7835|13.2218|6.4|BULLETIN-INGV||||ML|2.8|--|6 km W Arquata del Tronto (AP)|earthquake
7077551|2016-08-24T03:05:16.880000|42.7388|13.1577|9.8|BULLETIN-INGV||||ML|2.5|--|8 km SE Norcia (PG)|earthquake
7077701|2016-08-24T03:06:38.970000|42.7792|13.1783|9.9|BULLETIN-INGV||||ML|2.5|--|7 km E Norcia (PG)|earthquake
7077731|2016-08-24T03:07:17.220000|42.7707|13.1552|9.2|BULLETIN-INGV||||ML|2.8|--|6 km E Norcia (PG)|earthquake
7077781|2016-08-24T03:08:10.900000|42.6237|13.2518|10.6|BULLETIN-INGV||||Mw|3.7|--|3 km W Amatrice (RI)|earthquake
7077931|2016-08-24T03:09:14.910000|42.6882|13.2137|9.2|BULLETIN-INGV||||ML|2.8|--|3 km W Accumoli (RI)|earthquake
7077971|2016-08-24T03:10:02.310000|42.7437|13.1003|8.7|BULLETIN-INGV||||ML|2.6|--|6 km S Norcia (PG)|earthquake
7078001|2016-08-24T03:10:43.650000|42.8028|13.1548|10.3|BULLETIN-INGV||||ML|2.7|--|5 km E Norcia (PG)|earthquake
7078081|2016-08-24T03:11:47.480000|42.6427|13.23|1.7|BULLETIN-INGV||||ML|3.4|--|5 km W Amatrice (RI)|earthquake
7078171|2016-08-24T03:12:57.970000|42.7388|13.2697|10.6|BULLETIN-INGV||||ML|2.5|--|4 km SW Arquata del Tronto (AP)|earthquake
